0:0:0:0:0:0:0:1 - - [16/May/2021:21:44:49 +0530] "GET /ORS3/controller/College_Controller HTTP/1.1" 200 11810
0:0:0:0:0:0:0:1 - - [16/May/2021:21:44:49 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:21:47:17 +0530] "GET /ORS3/controller/College_Controller HTTP/1.1" 200 11812
0:0:0:0:0:0:0:1 - - [16/May/2021:21:47:17 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [16/May/2021:21:47:17 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:21:47:18 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:21:47:19 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:07 +0530] "GET /ORS3/controller/College_Controller HTTP/1.1" 200 11804
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:08 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:08 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:08 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:11 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:45 +0530] "GET /ORS3/controller/College_Controller HTTP/1.1" 200 11794
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:45 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:45 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:46 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:47 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:55 +0530] "GET /ORS3/controller/College_Controller HTTP/1.1" 200 11804
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:56 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:56 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:56 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:21:49:57 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2021:21:53:37 +0530] "GET /ORS3/controller/College_Controller HTTP/1.1" 200 11803
0:0:0:0:0:0:0:1 - - [16/May/2021:21:53:37 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:21:53:41 +0530] "GET /ORS3/controller/College_Controller HTTP/1.1" 200 11803
0:0:0:0:0:0:0:1 - - [16/May/2021:21:53:41 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [16/May/2021:21:53:41 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:21:53:42 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:21:53:43 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2021:21:55:02 +0530] "GET /ORS3/controller/Marksheet_Controller HTTP/1.1" 200 12859
0:0:0:0:0:0:0:1 - - [16/May/2021:21:55:26 +0530] "GET /ORS3/controller/UserList_Controller HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [16/May/2021:21:55:26 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:21:57:42 +0530] "GET /ORS3/controller/UserList_Controller HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [16/May/2021:21:57:42 +0530] "GET /ORS3/controller/UserList_Controller HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [16/May/2021:21:57:42 +0530] "GET /ORS3/controller/UserList_Controller HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [16/May/2021:21:57:42 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [16/May/2021:21:57:42 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:21:57:44 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:21:57:45 +0530] "GET /favicon.ico HTTP/1.1" 404 720
